"Book","Author","Date","List 1","List 2","List 3","List 4","List 5","Gender","Nationality/ Ethnicity","Connectivity","",""
"green light","Lloyd C. Douglas","1935.0","0.0","0.0","0.0","0.0","21.0","Male","European American","1.0","",""
"the big fisherman","Lloyd C. Douglas","1948.0","0.0","0.0","0.0","0.0","33.0","Male","European American","1.0","",""
"the robe","Lloyd C. Douglas*","1953.0","0.0","0.0","0.0","0.0","28.0","Male","European American","1.0","",""
"under the volcano","Malcolm Lowry","1949.0","11.0","39.0","0.0","14.0","0.0","Male","British","3.0","",""
"the handmaid's tale","Margaret Atwood","1985.0","0.0","53.0","0.0","0.0","0.0","Female","European Canadian","1.0","",""
"gone with the wind","Margaret Mitchell","1936.0","0.0","24.0","26.0","0.0","22.0","Female","European American","3.0","",""
"housekeeping","Marilynne Robinson","1980.0","0.0","0.0","0.0","53.0","0.0","Female","European American","1.0","",""
"the yearling","Marjorie Kinnan Rawlings","1938.0","0.0","0.0","0.0","0.0","23.0","Female","European American","1.0","",""
"zuleika dobson","Max Beerbohm","1911.0","59.0","0.0","0.0","0.0","0.0","Male","British","1.0","",""
"one lonely night","Mickey Spillane","1951.0","0.0","46.0","0.0","0.0","0.0","Male","European American","1.0","",""
"the egyptian","Mika Waltari","1949.0","0.0","0.0","0.0","0.0","34.0","Male","Finnish","1.0","",""
"for one more day","Mitch Albom","2006.0","0.0","0.0","0.0","0.0","88.0","Male","European American","1.0","",""
"the shoes of the fisherman","Morris L. West","1963.0","0.0","0.0","0.0","0.0","47.0","Male","Austrailian","1.0","",""
"not as a stranger","Morton Thompson","1954.0","0.0","0.0","0.0","0.0","38.0","Male","European American","1.0","",""
"the prime of miss jean brodie","Muriel Spark","1961.0","76.0","0.0","0.0","0.0","0.0","Female","British","1.0","",""
"the day of the locust","Nathaniel West","1939.0","73.0","0.0","0.0","51.0","0.0","Male","European American","2.0","",""
"a town like alice","Nevil Shute","1950.0","0.0","17.0","0.0","0.0","0.0","Male","British","1.0","",""
"on the beach","Nevil Shute","1957.0","0.0","56.0","0.0","0.0","0.0","Male","British","1.0","",""
"trustee from the toolroom","Nevil Shute","1960.0","0.0","27.0","0.0","0.0","0.0","Male","British","1.0","",""
"the naked and the dead","Norman Mailer","1948.0","51.0","0.0","80.0","89.0","0.0","Male","European American","3.0","",""
"ender's game","Orson Scott Card","1985.0","0.0","59.0","0.0","0.0","0.0","Male","European American","1.0","",""
